Text,Sentiment
I'm losing my will to live.,1
The fear of asking for extensions or accommodations due to the stigma attached to mental health issues. #StigmaInAcademia,1
"The fear of failure and disappointing others, leading to paralyzing academic anxiety. #FearOfFailure",1
I can't escape the grip of this deep sadness.,1
"""Depression has affected my self-esteem and made me believe I'm not worthy of love or happiness."" #SelfEsteemStruggles",1
The future looks bleak and uncertain.,1
Feeling like a burden to my partner and fearing that my depression will drive them away. #DepressionInRelationships,1
Time management feels impossible. My depressive episodes disrupt my ability to create a consistent schedule. #TimeOrganization,1
"""Depression has affected my sleep patterns, leading to insomnia or excessive sleeping."" #SleepDisruptions",1
"""I'm tired of pretending everything is okay when it feels like my world is falling apart."" #HiddenStruggles",1
Struggling with a lack of motivation or interest in pursuing personal growth or self-improvement. #LackOfPersonalGrowthMotivation,1
"""My energy levels are constantly depleted, and even the simplest tasks feel like a Herculean effort.""",1
"""Sometimes I feel like I'm stuck in a never-ending cycle of negative thoughts and self-doubt."" #NegativeThoughtsCycle",1
Struggling with conflicts and misunderstandings in family relationships due to the impact of depression on my behavior and emotions. #FamilyConflicts,1
Struggling to establish healthy routines or engage in self-care activities due to lack of motivation. #SelfCareStruggles,1
"The weight of the world bears down on my shoulders, a burden I cannot shake off. The future appears bleak and uncertain, devoid of any glimmer of hope. It's a constant battle to find a reason to keep going, to find a sliver of light in the suffocating darkness.",1
"Experiencing changes in appetite or weight, either significant loss or gain. #AppetiteChanges",1
"""I've lost interest in taking care of myself and neglect basic self-care routines.""",1
"""I've lost my sense of identity and struggle to define who I am outside of this depression.""",1
"""I often feel overwhelmed by even the smallest tasks, as if everything requires tremendous effort."" #OverwhelmingTasks",1
Feeling a lack of self-worth and a constant sense of self-criticism. #LowSelfEsteem,1
"A pervasive feeling of sadness clings to me like a second skin. It colors every aspect of my life, casting a shadow on even the brightest moments. It's as if happiness has become an elusive dream, forever out of reach.",1
"""I often feel like I'm stuck in a never-ending cycle of sadness, with no escape."" #CycleOfSadness",1
Feeling a sense of numbness or detachment from oneself or the world. #EmotionalDetachment,1
I'm suffocating in this sea of sadness.,1
"""Depression has made it hard for me to find comfort in the silence, as my mind is filled with noise."" #NoisyMind",1
"""It's difficult to explain to others how I feel because depression is so much more than just sadness."" #InvisibleStruggle",1
"""I often feel like I'm running on empty, with no energy left to face the challenges of each day."" #RunningOnEmpty",1
"""I often feel like I'm wandering through life aimlessly, with no sense of direction or purpose."" #LostInWandering",1
"""I feel a deep sense of loneliness, even when surrounded by others. It's as if I'm invisible.""",1
Experiencing a sense of disconnection from nature or the natural world. #NatureDisconnection,1
Feeling overwhelmed by the demands of social media and the constant comparison to others. #SocialMediaPressure,1
Feeling a sense of disconnection from personal talents or abilities. #TalentDisconnection,1
"The constant battle between societal expectations and my own desires, feeling torn between who I am and who I'm expected to be. #IdentityConflict",1
Struggling with social anxiety or fear of judgment in social situations. #SocialAnxiety,1
"""Sometimes it feels like I'm walking through a dark tunnel, desperately searching for a glimmer of light."" #WalkingInDarkness",1
Struggling with feelings of worthlessness or feeling like a burden to others. #FeelingsOfWorthlessness,1
"Struggling with a constant sense of sadness or despair, even when things seem to be going well. #ConstantSadness",1
Experiencing a loss of faith or questioning your beliefs or spirituality. #SpiritualCrisis,1
Struggling with a sense of isolation or alienation from cultural or societal norms. #CulturalAlienation,1
Experiencing a loss of trust in others or difficulty in forming trusting relationships. #TrustIssues,1
Experiencing a loss of motivation and joy in academic pursuits. #AcademicApathy,1
Feeling a sense of detachment from oneself or from reality. #Depersonalization,1
Experiencing a loss of inspiration and creativity. #LossOfCreativity,1
Happiness feels like a distant memory.,1
Feeling restricted in pursuing personal passions or interests due to financial limitations. #FinancialRestrictions,1
I feel like a failure in every aspect of my life.,1
"""Depression has made it difficult for me to believe in myself and my capabilities."" #SelfBeliefStruggles",1
"It's hard to see beyond graduation. The future feels uncertain, and the thought of transitioning to the professional world is overwhelming. #PostGraduationAnxiety",1
"""I've lost interest in maintaining personal hygiene and self-care. It feels pointless.""",1
Feeling like a burden or source of worry for friends and loved ones. #FeelingLikeABurden,1
Experiencing difficulties in academic or professional performance due to depression. #ImpactOnPerformance,1
The fear of missing out on opportunities due to depression holding me back. #FearOfMissingOut,1
Life feels like an endless series of disappointments.,1
"""I've lost my appetite for life. Each day feels like a chore to get through.""",1
My energy has been drained by this constant battle with depression.,1
Burnout becomes a real threat. It's hard to balance academic demands with taking care of my mental well-being. #BurnoutRisk,1
The difficulty in managing stress and feeling overwhelmed by even minor setbacks. #StressManagementStruggles,1
Experiencing difficulty in maintaining healthy routines or engaging in self-care activities. #SelfCareStruggles,1
"""I constantly feel on edge and have trouble relaxing or finding any sense of calm.""",1
